case_id,cse_id,alert_id,created_at,investigation_started_at,closed_at,priority,investigation_summary,evidence_count,closure_reason,root_cause,remediation_status,reviewer_id
CSE-01-CASE-0001,CSE-01,CSE-01-ALT-0001,2026-08-09T00:38:00Z,2026-08-09T00:42:00Z,2026-08-09T02:29:00Z,Medium,"Investigated suspicious Malware activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0002,CSE-01,CSE-01-ALT-0002,2026-08-16T02:17:00Z,2026-08-16T02:20:00Z,2026-08-16T02:57:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0003,CSE-01,CSE-01-ALT-0003,2026-08-09T12:13:00Z,2026-08-09T12:15:00Z,2026-08-09T13:36:00Z,High,"Investigated suspicious Denial of Service activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0004,CSE-01,CSE-01-ALT-0004,2026-08-12T19:38:00Z,2026-08-12T19:46:00Z,2026-08-12T20:23:00Z,Medium,"Investigated suspicious Lateral Movement activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0005,CSE-01,CSE-01-ALT-0005,2026-08-04T01:18:00Z,2026-08-04T01:28:00Z,2026-08-04T03:18:00Z,Critical,"Investigated suspicious Denial of Service activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0006,CSE-01,CSE-01-ALT-0006,2026-08-03T09:42:00Z,2026-08-03T09:44:00Z,2026-08-03T10:59:00Z,High,"Investigated suspicious Identity/Credential Access activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",2,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0007,CSE-01,CSE-01-ALT-0007,2026-08-09T22:40:00Z,2026-08-09T22:43:00Z,2026-08-10T00:06:00Z,Medium,"Investigated suspicious Denial of Service activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0008,CSE-01,CSE-01-ALT-0008,2026-08-22T16:44:00Z,2026-08-22T16:54:00Z,2026-08-22T17:33:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0009,CSE-01,CSE-01-ALT-0009,2026-08-24T15:10:00Z,2026-08-24T15:15:00Z,2026-08-24T16:38:00Z,High,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0010,CSE-01,CSE-01-ALT-0010,2026-08-11T09:14:00Z,2026-08-11T09:20:00Z,2026-08-11T09:58:00Z,Critical,"Investigated suspicious Denial of Service activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0011,CSE-01,CSE-01-ALT-0011,2026-08-08T02:56:00Z,2026-08-08T03:00:00Z,2026-08-08T04:16:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",5,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
CSE-01-CASE-0012,CSE-01,CSE-01-ALT-0012,2026-08-30T04:29:00Z,2026-08-30T04:32:00Z,2026-08-30T05:42:00Z,High,"Investigated suspicious Identity/Credential Access activity on CSE-01-AST-003. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-003,Completed,LEAD-REV-01
CSE-01-CASE-0013,CSE-01,CSE-01-ALT-0013,2026-08-19T21:57:00Z,2026-08-19T22:03:00Z,2026-08-19T23:28:00Z,Medium,"Investigated suspicious Privilege Escalation activity on CSE-01-AST-004. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-004,Completed,LEAD-REV-01
CSE-01-CASE-0014,CSE-01,CSE-01-ALT-0014,2026-08-16T10:48:00Z,2026-08-16T10:51:00Z,2026-08-16T11:42:00Z,Medium,"Investigated suspicious Malware activity on CSE-01-AST-005. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",3,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-005,Completed,LEAD-REV-01
CSE-01-CASE-0015,CSE-01,CSE-01-ALT-0015,2026-08-15T03:04:00Z,2026-08-15T03:14:00Z,2026-08-15T04:32:00Z,Critical,"Investigated suspicious Data Exfiltration activity on CSE-01-AST-001. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-001,Completed,LEAD-REV-01
CSE-01-CASE-0016,CSE-01,CSE-01-ALT-0016,2026-08-28T08:43:00Z,2026-08-28T08:52:00Z,2026-08-28T09:37:00Z,Medium,"Investigated suspicious Reconnaissance activity on CSE-01-AST-002. Host quarantine verified, memory strings analyzed, credentials rotated for user domain accounts. Incident mitigated cleanly.",4,Resolved by Standard Triage,Root vulnerability in service module on CSE-01-AST-002,Completed,LEAD-REV-01
